samples,es,D6,D14,D16,D18,D24,D25,D28,D34,D36,D42,D48,D54
31,135,0.026023732,0.302620683,0.037352266,0.359721865,0.156583599,20.9222222,0.297071972,0.900176753,0.107189595,0.650418432,0.226335762,0.272821761
32,141,0.025197415,0.33481197,0.044481068,0.384638421,0.151906883,20.28333331,0.307277814,0.905558145,0.116940817,0.637994857,0.253602344,0.275219012
33,203,0.241786523,0.475426988,0.067008364,0.616898789,0.149362265,27.24,0.204889529,0.967320076,0.105926305,0.517596766,0.500355163,0.406749106
34,406,0.0741582,0.377252586,0.07821411,0.293837098,0.180338683,27.8,0.276978663,0.669873215,0.076373287,0.594597043,0.207019668,0.2171015
35,315,0.075866178,0.476151054,0.101558724,0.370255455,0.117947038,25.84,0.303818728,0.833992402,0.120725586,0.617133616,0.292315997,0.211717503
36,402,0.069234006,0.435456608,0.093253986,0.361401906,0.164260918,24.95000005,0.302954514,0.767227599,0.1113848,0.566660094,0.275423711,0.247101583
37,664,0.179658722,0.456976133,0.052757647,0.502502093,0.061757066,29.81777775,0.196937491,0.653160125,0.081862613,0.205099557,0.298051092,0.460404118
38,905,0.177383875,0.453038575,0.052755212,0.492923548,0.061031666,29.68936167,0.192858659,0.650108994,0.081041038,0.20065343,0.29361577,0.457689693
39,764,0.175161841,0.449078449,0.052673267,0.483869461,0.060306052,29.5714286,0.189018021,0.646828837,0.080212355,0.196482862,0.289350946,0.455172577
40,811,0.149280502,0.375704194,0.046471702,0.442548358,0.108000152,30.4,0.173879553,0.58288078,0.048397007,0.585742506,0.144137515,0.44797142
41,115,0.074138943,0.267666074,0.011952393,0.332353439,0.129249507,21.82,0.202088561,0.453723178,0.032790992,0.622035896,0.263005804,0.249661747
42,60,0.057043519,0.267627504,0.008364167,0.286128408,0.17801268,21.72,0.27339704,0.599299425,0.079345558,0.412265086,0.224533333,0.286750124
43,60,0.057453146,0.343053798,0.04333722,0.386663937,0.17935694,19.305,0.291512587,1.000347061,0.130797779,0.41409827,0.272434627,0.287357037
44,130,0.057632557,0.377625353,0.050949747,0.417389784,0.179937846,18.665,0.313187788,0.924107617,0.140119707,0.42974466,0.297008713,0.294234608
45,155,0.057630977,0.398401672,0.054330721,0.428417842,0.180231851,18.265,0.32598554,0.867193818,0.142607196,0.439068312,0.311510259,0.298828219
46,230,0.057543383,0.418677263,0.056859837,0.434901922,0.180471832,17.865,0.338262856,0.808309297,0.142978588,0.44803155,0.325447945,0.303660434
47,156,0.018838717,0.377090552,0.047797931,0.474451408,0.094048503,21.16,0.30661913,0.996416137,0.124155148,0.617195518,0.275753051,0.281468913
48,879,0.177880629,0.388276898,0.041746,0.527466189,0.119990897,28.6,0.172674169,0.722837144,0.06104845,0.181078306,0.292682927,0.420896044
49,694,0.161123522,0.323641468,0.046182646,0.375273921,0.08384067,32.15384619,0.121662645,0.508455395,0.050183709,0.302704024,0.131194184,0.483015659
50,741,0.156901875,0.345273245,0.046520212,0.419132483,0.094919576,31.48571432,0.145285398,0.537861811,0.049660999,0.418891361,0.137167339,0.470001611
51,772,0.152962133,0.362230404,0.046587228,0.436836794,0.102552612,30.9066667,0.161761907,0.562322581,0.049053105,0.509206726,0.141298541,0.458392989
52,502,0.194819155,0.493213747,0.054680167,0.491943599,0.152427684,26.73,0.208857013,0.838426401,0.087120837,0.529683485,0.38582213,0.401114463
53,409,0.220861802,0.469884758,0.064903574,0.555959761,0.140757488,27.16666672,0.187157116,0.896262063,0.098825567,0.462433041,0.454283111,0.403568019
54,736,0.22641386,0.443693015,0.060074925,0.513609386,0.149878628,28.42857146,0.176568617,0.802462784,0.095377683,0.423969495,0.418946256,0.441925251
55,295,0.081330099,0.450793755,0.046681893,0.516495238,0.122270829,25.6,0.175271282,0.450197533,0.06065357,0.493299272,0.304804876,0.321974063
