samples es D5 D6 D14 D16 D18 D24 D25 D30 D34 D36 D39 D44 D48 D52
23 723 1.76969697 0.146716701 0.319177779 0.035941992 0.372296988 0.109415338 29.21212121 0.147941124 0.610152566 0.052036136 4.54848485 0.269302989 0.158196127 0.510613269
24 807 1.754285716 0.148078656 0.349269873 0.040434053 0.396730281 0.10943359 29.60000003 0.149574847 0.60222116 0.050929134 5.465714291 0.298075535 0.153771084 0.494036986
25 782 1.740540539 0.148870048 0.36525862 0.04349116 0.417279783 0.109052183 29.94594592 0.150203221 0.59438264 0.049876972 6.283783778 0.321456884 0.149693565 0.479005432
26 786 1.7225 0.149280502 0.375704194 0.046471702 0.442548358 0.108000152 30.4 0.149937189 0.58288078 0.048397007 7.3575 0.349403768 0.144137515 0.458876745
27 590 1.7325 0.14368556 0.299650846 0.020389655 0.326913655 0.103803756 26.075 0.17824356 0.751889681 0.064452279 3.73 0.548475656 0.254607793 0.552045146
28 931 1.742352943 0.140440775 0.346115602 0.048118861 0.358359883 0.112959568 27.49411766 0.183922564 0.741433286 0.067568596 3.520647064 0.584281814 0.271004434 0.576114932
29 195 1.454 0.081330099 0.450793755 0.046681893 0.516495238 0.122270829 25.6 0.168998211 0.450197533 0.06065357 26.4048 0.917010396 0.304804876 0.321272455
30 139 1.607619048 0.026937068 0.261439801 0.025359384 0.306179865 0.161706784 21.65238095 0.249383434 0.809594683 0.090890994 3.682476189 0.54269397 0.18970771 0.490981873
31 135 1.607777776 0.026023732 0.302620683 0.037352266 0.359721865 0.156583599 20.9222222 0.264774861 0.900176753 0.107189595 3.452444441 0.532476244 0.226335762 0.510928514
32 141 1.607916665 0.025197415 0.33481197 0.044481068 0.384638421 0.151906883 20.28333331 0.276646061 0.905558145 0.116940817 3.251166662 0.522653769 0.253602344 0.527032218
33 203 1.606 0.241786523 0.475426988 0.067008364 0.616898789 0.149362265 27.24 0.206243336 0.967320076 0.105926305 29.8348 0.879209588 0.500355163 0.755395344
34 406 1.666 0.0741582 0.377252586 0.07821411 0.293837098 0.180338683 27.8 0.224805854 0.669873215 0.076373287 3.1182 0.605784469 0.207019668 0.552498961
